year,value,series_id,series,source,notes
1984,60420,MEHOINUSA672N,Real median household income,FRED/Census MEHOINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
1985,61570,MEHOINUSA672N,Real median household income,FRED/Census MEHOINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
1986,63850,MEHOINUSA672N,Real median household income,FRED/Census MEHOINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
1987,64650,MEHOINUSA672N,Real median household income,FRED/Census MEHOINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
1988,65130,MEHOINUSA672N,Real median household income,FRED/Census MEHOINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
1989,66240,MEHOINUSA672N,Real median household income,FRED/Census MEHOINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
1990,65440,MEHOINUSA672N,Real median household income,FRED/Census MEHOINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
1991,63530,MEHOINUSA672N,Real median household income,FRED/Census MEHOINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
1992,63010,MEHOINUSA672N,Real median household income,FRED/Census MEHOINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
1993,62700,MEHOINUSA672N,Real median household income,FRED/Census MEHOINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
1994,63370,MEHOINUSA672N,Real median household income,FRED/Census MEHOINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
1995,65380,MEHOINUSA672N,Real median household income,FRED/Census MEHOINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
1996,66340,MEHOINUSA672N,Real median household income,FRED/Census MEHOINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
1997,67720,MEHOINUSA672N,Real median household income,FRED/Census MEHOINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
1998,70200,MEHOINUSA672N,Real median household income,FRED/Census MEHOINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
1999,71980,MEHOINUSA672N,Real median household income,FRED/Census MEHOINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
2000,71790,MEHOINUSA672N,Real median household income,FRED/Census MEHOINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
2001,70610,MEHOINUSA672N,Real median household income,FRED/Census MEHOINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
2002,70040,MEHOINUSA672N,Real median household income,FRED/Census MEHOINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
2003,70080,MEHOINUSA672N,Real median household income,FRED/Census MEHOINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
2004,69970,MEHOINUSA672N,Real median household income,FRED/Census MEHOINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
2005,71060,MEHOINUSA672N,Real median household income,FRED/Census MEHOINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
2006,71850,MEHOINUSA672N,Real median household income,FRED/Census MEHOINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
2007,73010,MEHOINUSA672N,Real median household income,FRED/Census MEHOINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
2008,70520,MEHOINUSA672N,Real median household income,FRED/Census MEHOINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
2009,70070,MEHOINUSA672N,Real median household income,FRED/Census MEHOINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
2010,68420,MEHOINUSA672N,Real median household income,FRED/Census MEHOINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
2011,67410,MEHOINUSA672N,Real median household income,FRED/Census MEHOINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
2012,67400,MEHOINUSA672N,Real median household income,FRED/Census MEHOINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
2013,69950,MEHOINUSA672N,Real median household income,FRED/Census MEHOINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
2014,69060,MEHOINUSA672N,Real median household income,FRED/Census MEHOINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
2015,72790,MEHOINUSA672N,Real median household income,FRED/Census MEHOINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
2016,75380,MEHOINUSA672N,Real median household income,FRED/Census MEHOINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
2017,76710,MEHOINUSA672N,Real median household income,FRED/Census MEHOINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
2018,77700,MEHOINUSA672N,Real median household income,FRED/Census MEHOINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
2019,83260,MEHOINUSA672N,Real median household income,FRED/Census MEHOINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
2020,81580,MEHOINUSA672N,Real median household income,FRED/Census MEHOINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
2021,81270,MEHOINUSA672N,Real median household income,FRED/Census MEHOINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
2022,79500,MEHOINUSA672N,Real median household income,FRED/Census MEHOINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
2023,82690,MEHOINUSA672N,Real median household income,FRED/Census MEHOINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
2024,83730,MEHOINUSA672N,Real median household income,FRED/Census MEHOINUSA672N,2024 C-CPI-U dollars; annual; not seasonally adjusted.
